Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,23,TOR,12,0,245,36,92,.391,5,28,.179,31,64,.484,.418,28,33,.848,24,60,84,16,2,7,15,19,105
Steven Adams,C,29,MEM,22,22,596,77,129,.597,0,1,.000,77,128,.602,.597,19,62,.306,110,129,239,50,18,22,48,55,173
Bam Adebayo,C,25,MIA,22,22,772,176,335,.525,1,9,.111,175,326,.537,.527,103,118,.873,51,146,197,73,22,17,67,73,456
Ochai Agbaji,SG,22,UTA,8,0,72,10,21,.476,1,7,.143,9,14,.643,.500,4,7,.571,4,6,10,1,1,0,0,8,25
Santi Aldama,PF,22,MEM,23,16,581,83,180,.461,29,86,.337,54,94,.574,.542,27,38,.711,35,100,135,31,19,24,14,61,222
Nickeil Alexander-Walker,SG,24,UTA,15,0,158,22,56,.393,9,28,.321,13,28,.464,.473,8,9,.889,3,11,14,22,8,4,11,21,61
Grayson Allen,SG,27,MIL,20,18,540,67,147,.456,40,92,.435,27,55,.491,.592,43,47,.915,17,53,70,51,16,5,25,31,217
Jarrett Allen,C,24,CLE,17,17,544,94,160,.588,0,2,.000,94,158,.595,.588,41,52,.788,50,133,183,22,9,21,29,38,229
Jose Alvarado,PG,24,NOP,23,6,487,85,180,.472,38,94,.404,47,86,.547,.578,21,25,.840,10,45,55,77,27,4,31,51,229
Kyle Anderson,PF,29,MIN,18,3,398,42,85,.494,9,21,.429,33,64,.516,.547,23,28,.821,13,60,73,52,18,17,25,24,116
Giannis Antetokounmpo,PF,28,MIL,19,19,626,223,410,.544,15,63,.238,208,347,.599,.562,145,234,.620,39,176,215,104,16,20,70,65,606
Thanasis Antetokounmpo,SF,30,MIL,11,0,43,1,4,.250,0,1,.000,1,3,.333,.250,0,0,,2,9,11,2,0,2,4,3,2
Cole Anthony,PG,22,ORL,8,3,219,36,90,.400,11,32,.344,25,58,.431,.461,21,25,.840,4,32,36,28,10,4,11,27,104
OG Anunoby,SF,25,TOR,24,24,876,174,361,.482,38,111,.342,136,250,.544,.535,72,87,.828,35,103,138,52,56,21,63,72,458
Ryan Arcidiacono,PG,28,NYK,6,0,16,0,3,.000,0,2,.000,0,1,.000,.000,0,0,,0,2,2,2,2,0,1,2,0
Deni Avdija,SF,22,WAS,24,21,567,64,163,.393,18,68,.265,46,95,.484,.448,27,36,.750,22,99,121,55,17,17,33,74,173
Deandre Ayton,C,24,PHO,22,22,639,163,262,.622,4,13,.308,159,249,.639,.630,46,63,.730,63,148,211,47,11,19,42,64,376
Udoka Azubuike,C,23,UTA,9,0,35,7,8,.875,0,0,,7,8,.875,.875,2,6,.333,4,12,16,3,2,2,2,2,16
Marvin Bagley III,PF,23,DET,12,11,294,63,111,.568,7,19,.368,56,92,.609,.599,22,27,.815,28,54,82,8,10,8,15,29,155
Patrick Baldwin Jr.,SF,20,GSW,4,0,24,4,10,.400,2,8,.250,2,2,1.000,.500,0,0,,0,6,6,0,3,0,1,0,10
LaMelo Ball,PG,21,CHO,3,3,98,22,53,.415,10,32,.313,12,21,.571,.509,4,5,.800,0,11,11,21,3,1,11,8,58
Mo Bamba,C,24,ORL,19,5,355,57,119,.479,20,56,.357,37,63,.587,.563,22,31,.710,22,64,86,22,5,15,17,42,156
Paolo Banchero,PF,20,ORL,18,18,619,132,294,.449,16,65,.246,116,229,.507,.476,111,152,.730,23,99,122,68,14,11,53,39,391
Desmond Bane,SG,24,MEM,12,12,403,99,213,.465,46,102,.451,53,111,.477,.573,52,57,.912,6,53,59,57,7,3,27,29,296
Dalano Banton,PG,23,TOR,18,2,193,40,95,.421,13,41,.317,27,54,.500,.489,14,16,.875,8,20,28,22,11,10,12,21,107
Dominick Barlow,SF,19,SAS,3,0,22,2,6,.333,0,3,.000,2,3,.667,.333,4,4,1.000,2,1,3,3,1,0,0,3,8
Harrison Barnes,PF,30,SAC,22,22,674,90,184,.489,22,73,.301,68,111,.613,.549,89,106,.840,23,97,120,41,19,3,27,31,291
Scottie Barnes,PF,21,TOR,21,20,695,124,274,.453,26,81,.321,98,193,.508,.500,30,45,.667,37,106,143,104,20,19,53,34,304
